doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-prohibited-products,data/shopee_ecommerce/shopee-prohibited-products.md,Chính sách cấm/hạn chế sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77247,2026-08-03,2025-04-28,public-page
shopee-product-listing-rules,data/shopee_ecommerce/shopee-product-listing-rules.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246,2026-08-03,2024-08-14,public-page
shopee-return-refund-policy,data/shopee_ecommerce/shopee-return-refund-policy.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251?seo=1,2026-08-03,2026-03-11,public-page
shopee-seller-anti-fraud-policy,data/shopee_ecommerce/shopee-seller-anti-fraud-policy.md,Chính sách chống hành vi gian lận trên sàn Shopee,https://help.shopee.vn/portal/4/article/140097?previousPage=other+articles,2026-08-03,2023-12-26,public-page
shopee-complaint-001,data/shopee_ecommerce/shopee-complaint-001.md,Quy trình 4 bước giải quyết khiếu nại Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/77265,2026-08-03,not-stated,public-page
shopee-complaint-002,data/shopee_ecommerce/shopee-complaint-002.md,Ưu tiên xử lý khiếu nại cho người tiêu dùng dễ bị tổn thương,https://help.shopee.vn/portal/4/article/77265,2026-08-03,not-stated,public-page
shopee-returns-001,data/shopee_ecommerce/shopee-returns-001.md,Những quy định chung về trả hàng và hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/188931,2026-08-03,not-stated,public-page
shopee-shipping-policy,data/shopee_ecommerce/shopee-shipping-policy.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-08-03,2026-03-20,public-page
shopee-service-terms,data/shopee_ecommerce/shopee-service-terms.md,Điều khoản dịch vụ Shopee,https://help.shopee.vn/portal/4/article/77243,2026-08-03,not-stated,public-page
shopee-seller-cancellation,data/shopee_ecommerce/shopee-seller-cancellation.md,Nguyên nhân đơn hàng bị hủy liên quan đến người bán,https://help.shopee.vn/portal/4/article/79519,2026-08-03,not-stated,public-page
